FileName,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
MSP-IMPROV-S01A-F02-R-FF01.wav,2.666667,2.333333,3,2,Female,Train
MSP-IMPROV-S01A-F03-R-FF01.wav,3,1.428571,4.285714,3,Female,Train
MSP-IMPROV-S01A-F05-R-FF01.wav,3.6,1.6,3.6,5,Female,Test
MSP-IMPROV-S01A-F06-R-FF01.wav,3.2,2,3.2,6,Female,Train
MSP-IMPROV-S01A-M01-R-MM01.wav,3.666667,1.666667,3.5,1,Male,Train
MSP-IMPROV-S01A-M02-R-MM01.wav,2,2.625,3.125,2,Male,Train
MSP-IMPROV-S01A-M03-R-MM01.wav,3,2,3.8,3,Male,Train
MSP-IMPROV-S01H-F02-R-FF01.wav,3.2,3.8,3,2,Female,Train
MSP-IMPROV-S01H-F03-R-FF01.wav,3.6,3.4,3.4,3,Female,Train
MSP-IMPROV-S01H-F05-R-FF01.wav,3.285714,4.428571,4,5,Female,Test
MSP-IMPROV-S01H-F06-R-FF01.wav,3.4,4,3.2,6,Female,Train
MSP-IMPROV-S01H-M01-R-MM01.wav,3,3.6,3.2,1,Male,Train
MSP-IMPROV-S01H-M02-R-MM01.wav,2,3.2,2.8,2,Male,Train
MSP-IMPROV-S01H-M03-R-MM01.wav,2.6,4,3.2,3,Male,Train
MSP-IMPROV-S01N-F02-R-FF01.wav,1.857143,3,3,2,Female,Train
MSP-IMPROV-S01N-F03-R-FF01.wav,1.833333,3.166667,3.166667,3,Female,Train
MSP-IMPROV-S01N-F05-R-FF01.wav,2.375,2.625,2.875,5,Female,Test
MSP-IMPROV-S01N-F05-R-FF02.wav,2.6,2.8,2.6,5,Female,Test
MSP-IMPROV-S01N-F06-R-FF01.wav,2.2,2.6,3.2,6,Female,Train
MSP-IMPROV-S01N-M01-R-MM01.wav,1.6,3,2.8,1,Male,Train
MSP-IMPROV-S01N-M01-R-MM02.wav,2,2.6,2.8,1,Male,Train
MSP-IMPROV-S01N-M02-R-MM01.wav,2,3,2.285714,2,Male,Train
MSP-IMPROV-S01N-M03-R-MM01.wav,2.2,2.6,3,3,Male,Train
MSP-IMPROV-S01S-F02-R-FF01.wav,1.666667,2.333333,2.333333,2,Female,Train
MSP-IMPROV-S01S-F03-R-FF01.wav,1.857143,2.142857,2.714286,3,Female,Train
MSP-IMPROV-S01S-F03-R-FF02.wav,2.4,2.2,2.8,3,Female,Train
MSP-IMPROV-S01S-F05-R-FF01.wav,2,1.6,2.4,5,Female,Test
MSP-IMPROV-S01S-F05-R-FF02.wav,1.875,2.125,2.875,5,Female,Test
MSP-IMPROV-S01S-F06-R-FF01.wav,2.4,1.4,3.2,6,Female,Train
MSP-IMPROV-S01S-M01-R-MM01.wav,3.6,1.6,4,1,Male,Train
MSP-IMPROV-S01S-M02-R-MM01.wav,1.833333,2.166667,2.666667,2,Male,Train
MSP-IMPROV-S01S-M03-R-MM01.wav,2.25,2.625,3.125,3,Male,Train
MSP-IMPROV-S02A-F02-R-FF01.wav,2.8,2,3.6,2,Female,Train
MSP-IMPROV-S02A-F03-R-FF01.wav,3.428571,1.714286,3.285714,3,Female,Train
MSP-IMPROV-S02A-F05-R-FF01.wav,4,2.2,3.6,5,Female,Test
MSP-IMPROV-S02A-F06-R-FF01.wav,3.2,1.8,3.6,6,Female,Train
MSP-IMPROV-S02A-M01-R-MM01.wav,4,2,3.8,1,Male,Train
MSP-IMPROV-S02A-M02-R-MM01.wav,2.166667,3,2.833333,2,Male,Train
MSP-IMPROV-S02A-M03-R-MM01.wav,2,3.2,3,3,Male,Train
MSP-IMPROV-S02H-F02-R-FF01.wav,2.6,4.4,3.6,2,Female,Train
MSP-IMPROV-S02H-F03-R-FF01.wav,2.8,3.6,2.8,3,Female,Train
MSP-IMPROV-S02H-F05-R-FF01.wav,3.857143,4.285714,3.571429,5,Female,Test
MSP-IMPROV-S02H-F06-R-FF01.wav,2.142857,4,3,6,Female,Train
MSP-IMPROV-S02H-M01-R-MM01.wav,3.2,2,3.8,1,Male,Train
MSP-IMPROV-S02H-M02-R-MM01.wav,1.666667,2.666667,2.666667,2,Male,Train
MSP-IMPROV-S02H-M03-R-MM01.wav,2.8,4,3.8,3,Male,Train
MSP-IMPROV-S02N-F02-R-FF01.wav,2.285714,3,2.857143,2,Female,Train
MSP-IMPROV-S02N-F03-R-FF01.wav,2.166667,3,2.833333,3,Female,Train
MSP-IMPROV-S02N-F05-R-FF01.wav,1.8,3.4,3,5,Female,Test
MSP-IMPROV-S02N-F05-R-FF02.wav,2.666667,3.166667,3,5,Female,Test
MSP-IMPROV-S02N-F06-R-FF01.wav,2.6,2.6,3,6,Female,Train
